a_x,a_y,a_z,a_zz,delta_theta,theta_value,sql,T_H
-4.802335547,-1.734531573,-3.021901527,2.781514225,0.06371459958,0.6,0.1,10
3.606304014,-2.533196228,1.678491588,-3.706371965,0.637546595,0.6,0.1,10
-2.248474744,-3.613455038,-2.164792334,1.747365473,0.09738162224,0.6,0.1,10
4.103269102,-2.974775921,0.4207903495,2.013911012,1.828137864,0.6,0.1,10
4.529224685,1.100604829,-2.44893069,1.254781569,0.1443501247,0.6,0.1,10
-1.795088383,4.761283907,-1.003238648,1.854277208,0.174453164,0.6,0.1,10
-4.767724177,-0.9993855387,3.751076133,1.102274444,0.3946665582,0.6,0.1,10
-0.560571136,4.359374994,3.539843761,-1.777843262,1.234069936,0.6,0.1,10
0.4454840204,-0.1017574391,1.322025001,-1.65888733,0.1977579602,0.6,0.1,10
-2.557949992,4.126718353,4.238744995,3.433228858,0.4401207726,0.6,0.1,10
4.782044308,2.449915258,2.646672286,2.62590092,0.09135436726,0.6,0.1,10
-0.1939236906,-0.4354780549,-2.597737239,1.448191944,0.1110176525,0.6,0.1,10
-2.106798639,-2.421915903,0.859613741,-0.9001761177,0.2517975004,0.6,0.1,10
-2.811433912,3.160560168,3.605699193,-3.323004803,0.6183668664,0.6,0.1,10
-4.924929672,-1.638700315,2.975108357,3.391738662,0.06619317537,0.6,0.1,10
-3.616709299,2.743359012,-3.842958327,-1.099374098,0.1317833152,0.6,0.1,10
4.98609515,-3.074091768,-3.460364174,-0.7719966745,0.1851880041,0.6,0.1,10
1.19668526,4.329007824,4.808211455,-4.303593634,0.1477218055,0.6,0.1,10
-3.620024827,2.907379739,-2.293678477,3.848490595,0.1005482118,0.6,0.1,10
1.634532572,-3.881551976,3.325292849,-3.2364362,0.09850761994,0.6,0.1,10
-0.7650460532,0.5218492856,0.007661490803,1.861629156,0.07949602281,0.6,0.1,10
1.526867349,4.920420055,4.994219092,0.1645940264,0.3894522953,0.6,0.1,10
-4.04800913,2.27843299,4.766640782,-1.816736124,0.09331799611,0.6,0.1,10
-0.3879111416,-0.7522307518,-4.485808454,1.722644312,0.09772971936,0.6,0.1,10
-1.466623049,2.874638746,3.321200753,3.212307866,0.05270650468,0.6,0.1,10
-0.8333400196,-1.784543178,2.488207797,3.013894338,1.980136701,0.6,0.1,10
-0.08742553609,3.930310195,-3.560913039,3.790687797,0.0817069379,0.6,0.1,10
-4.03904767,-3.464744779,0.3384001327,-4.324815198,0.1025150889,0.6,0.1,10
-4.471928986,-4.994812558,-0.6368334031,2.746238813,0.090966316,0.6,0.1,10
-4.651616497,1.522576065,3.231273174,-3.319991514,0.1556898662,0.6,0.1,10
-3.531362652,3.608009736,3.2312461,0.3894176626,0.3018013486,0.6,0.1,10
3.191998793,-4.072439226,-1.055184821,2.377975561,0.06659311811,0.6,0.1,10
-2.425480407,2.523289144,0.04178604391,2.502659879,0.04194469132,0.6,0.1,10
-0.3532036214,-1.320956598,-2.808107835,-2.916206586,0.6893892951,0.6,0.1,10
2.514908106,-3.81089652,-4.140176499,-3.23708635,0.09959040968,0.6,0.1,10
